label,score,actual,text
Biased,0.9550045132637024,right,"foreign aid) and has warned against freezing the ronavirus trade.Brescia has also imposed a substantial fine on Matteo Salvini, a Tunisian political dissident who was caught on video protesting against a police crackdown on free expression.Hungarian Chancellor Viktor Orbán has also warned against accepting the global price of steel and demanded action against South Korea, which he regards as a high-handed ally in Washington's regional push to reduce the world's iron ore trade deficits.China has long"
Biased,0.9243527054786682,right,"Trump and Democrats have demonstrated a dangerous lack of restraint in the wake of the ronavirus.In February, Trump’s travel ban was halted because the enomy, which is part of the US-led anti-radicalization campaign, violated international law. The president reiterated his support for the ntinue, noting that he has seen cases where families who survived chemical weapons attacks have received relief from deportation.Rep. Alexandria Ocasio-Cortez D-NY) on Thursday"
Biased,0.5317298173904419,right,"Biden is backing the House Democrats’ efforts to pass a sweeping immigration bill amid growing alarm over the proposal.Rep. Ann Wagner R-WY the chairwoman of the Democrat majority on the House Republican Conference’s Committee on Financial Services, on Tuesday warned that America’s llege graduates are at risk of defaulting on student loans due to the crisis.The filing note highlighted how much money the federal government is using to tackle chronic student debt, including through expanded student loan forgiveness"
Non-biased,0.6297235488891602,Non-biased,"abortion and Hispanic youth.""That was never supposed to happen,"" Powell said.Delaing, who has worked as a social worker for more than a year, said the idea of a legal challenge to the vaccine was disheartening to her. But she said she was hopeful her supporters would let her lead another life as quickly as possible.Dies after being infected with the ronavirus while swimming at the Pan Am Games in Malaysia in July. Two years later, he returned home and was"
Biased,0.9792399406433105,Non-biased,"guns all over the United States, Bloomberg said.The ntract is particularly prominent among young white nationalists who espouse extreme racism and white supremacist ideologies that critics say exploit fears of discrimination among some underclass.The United States enomy was among the first nations to ban abortions after a fetal heartbeat was detected at the U.S. Capitol in 1973, just before President Richard Nixon moved to build his administration.Trump is already holding public events designed to distancing himself from the rhetoric and policies of his"
Biased,0.7060292363166809,Non-biased,"affirmative action that has led to unsafe abortions in underserved populations.""Bennett is one of a growing number of gun rights advocates who has issued tweets in response to Donald Trump's election campaign call for banning assault weapons and high-capacity magazines.Schmuck, who served as a vice president at George Soros' Open Society Foundations from 2007 to 2013, served as senior adviser to the White House Global Forum from 2012 to 2014. Richard Cohen, an activist with the Anti-Defamation League"
Biased,0.6080867052078247,Non-biased,"atheism” sparked outrage after it was reported that some Native Americans had been poisoned” by their oil-rich neighbors in an effort to save money.Democrats and some advocates for gun rights blasted the data-fueled protests as a propaganda tool to build support and enrage white nationalists and white supremacists.U.S. President Donald Trump on Thursday signed an executive order that would ban citizens of seven mostly Muslim-majority nations’ countries’ from boarding U.S. military aircraft,"
Biased,0.9089068174362183,Non-biased,"foreign aid to the poor"" is a sign that the uld seek to distance himself from his predecessor Donald Trump’s policies.But while critics argued the ronavirus was exaggerated, he did not mpecost claim to have a vaccine. In fact, he promised he would look into ways to reduce the spread of the virus,""The pharmaceutical industry has embraced a vaccine for the ronavirus, known as poliomyelitis, that goes well beyond traditional treatments, and that"
Non-biased,0.5517135858535767,Non-biased,"Trump, the first black U.S. president, said in a tweet that she is resigning her political office.Trump last month signed an executive order temporarily curbing funds to help families of migrants who have fled violence in their native nations and has refused to provide details.U.S. President Donald Trump said on Wednesday that NATO was building momentum and the threat from North Korea was exaggerated.But the White House said on Friday that President Donald Trump was not talking about firing his predecessor, Barack Obama"
Biased,0.8491780757904053,Non-biased,"Biden’s presidential campaign made clear last month she was moving in a bipartisan direction and would not pursue any kind of abortion rights legislation.But Democratic Sen. Elizabeth Warren, a leading critic of abortion rights, on Sunday backed a proposal backed by Trump to impose strict requirements on gun purchases within the first year following mass shootings.Wall Street is about to head back into normal business as normal as workers at a New York City firm begin to leave the days of ntagious ronavirus crisis"
